Número de Série,Área,Linha,Nome da Operação,ID Estação,Passo do Teste,Limite Inferior,Valor,Limite Superior,Resultado,Notas,Data do Teste
VLI34A04133,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:25:40 AM"
VLI34A04134,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:25:36 AM"
VLI34A04111,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:24:50 AM"
VLI34A04162,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:24:46 AM"
VLI34A04158,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:24:01 AM"
VLI34A04112,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:23:57 AM"
VLI34A04161,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:23:09 AM"
VLI34A04126,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:23:07 AM"
VLI34A04159,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:22:21 AM"
VLI34A04164,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:22:16 AM"
VLI34A04160,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:21:34 AM"
VLI34A04163,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:21:27 AM"
VLI34A04156,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:16:33 AM"
VLI34A04155,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.199,0.25,PASS,-,"12/5/2025, 10:16:02 AM"
VLI34A04125,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:15:11 AM"
VLI34A04153,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:15:07 AM"
VLI34A04139,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:14:21 AM"
VLI34A04140,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:14:15 AM"
